channel,u0,tE,rho,q,s,mag_ref,seed,event_delta_chi2,anomaly_delta_chi2,event_detected,anomaly_detected,recovered,failure_reason,n_points_in_anomaly_window,wall_time_s
ffp,2.5,0.3,0.005,0.0,1.0,19.0,2,6713.9354620072845,91.311224096187,True,True,True,recovered,106,0.7121015000157058
ffp,2.5,0.3,0.005,0.0,1.0,19.0,3,7038.9378970353355,103.73863321638316,True,True,True,recovered,105,0.10267179971560836
ffp,2.5,0.3,0.005,0.0,1.0,19.0,4,6909.237362200045,120.65442446358702,True,True,True,recovered,105,0.048148700036108494
ffp,2.5,1.0,0.005,0.0,1.0,19.0,0,22939.397843129293,332.02448662372177,True,True,True,recovered,354,0.6981581002473831
ffp,2.5,1.0,0.005,0.0,1.0,19.0,1,22276.266468127957,296.0911802802624,True,True,True,recovered,354,0.5369578003883362
ffp,2.5,1.0,0.005,0.0,1.0,19.0,2,22431.145360230323,386.9761340890274,True,True,True,recovered,357,0.9450322003103793
ffp,2.5,1.0,0.005,0.0,1.0,19.0,3,22925.096807259863,380.7895145033275,True,True,True,recovered,355,0.5345426998101175
ffp,2.5,1.0,0.005,0.0,1.0,19.0,4,22566.72835570514,375.1561445916983,True,True,True,recovered,355,0.7055230000987649
ffp,0.02,0.02,0.005,0.0,1.0,22.0,0,7148.262086324401,0.9076290705504663,True,True,True,recovered,5,0.26690830010920763
ffp,0.02,0.02,0.005,0.0,1.0,22.0,1,7138.650625488823,2.408247008573516,True,True,True,recovered,5,0.136799699626863
ffp,0.02,0.02,0.005,0.0,1.0,22.0,2,7103.52183643615,1.3872178223204967,True,True,True,recovered,5,0.23322679987177253
ffp,0.02,0.02,0.005,0.0,1.0,22.0,3,7143.411135790564,0.9128267440761594,True,True,True,recovered,5,0.12802599975839257
ffp,0.02,0.02,0.005,0.0,1.0,22.0,4,7092.452317504591,2.2949178354307613,True,True,True,recovered,5,0.3113268003799021
ffp,0.02,0.08,0.005,0.0,1.0,22.0,0,111127.38024202854,18.944110750233367,True,True,True,recovered,28,0.05000580009073019
ffp,0.02,0.08,0.005,0.0,1.0,22.0,1,111074.14913301083,22.299976911698113,True,True,True,recovered,27,0.04911179980263114
ffp,0.02,0.08,0.005,0.0,1.0,22.0,2,110882.80640677539,21.371359554233617,True,True,True,recovered,28,0.06644940003752708
ffp,0.02,0.08,0.005,0.0,1.0,22.0,3,111093.49830065678,19.577023015261446,True,True,True,recovered,28,0.07025410002097487
ffp,0.02,0.08,0.005,0.0,1.0,22.0,4,111156.75189522025,22.70271894362163,True,True,True,recovered,28,0.04589110007509589
ffp,0.02,0.3,0.005,0.0,1.0,22.0,0,672177.4791495828,93.1864558129753,True,True,True,recovered,105,0.048338400200009346
ffp,0.02,0.3,0.005,0.0,1.0,22.0,1,664789.7344006745,82.73200156305208,True,True,True,recovered,104,0.03837179997935891
ffp,0.02,0.3,0.005,0.0,1.0,22.0,2,671262.5345852255,85.70811801895964,True,True,True,recovered,106,0.04588499991223216
ffp,0.02,0.3,0.005,0.0,1.0,22.0,3,672261.902262543,103.50577861747674,True,True,True,recovered,105,0.045534499920904636
ffp,0.02,0.3,0.005,0.0,1.0,22.0,4,671186.3229056365,121.91728197730782,True,True,True,recovered,105,0.037087200209498405
ffp,0.02,1.0,0.005,0.0,1.0,22.0,0,2799926.0583475037,332.47618601079796,True,True,True,recovered,354,0.03822219977155328
ffp,0.02,1.0,0.005,0.0,1.0,22.0,1,2741850.9034872637,300.8336450223396,True,True,True,recovered,354,0.03893199982121587
ffp,0.02,1.0,0.005,0.0,1.0,22.0,2,2795066.730838574,385.182759957149,True,True,True,recovered,357,0.042306500021368265
ffp,0.02,1.0,0.005,0.0,1.0,22.0,3,2807520.9271191247,380.02336367755004,True,True,True,recovered,355,0.045607900246977806
ffp,0.02,1.0,0.005,0.0,1.0,22.0,4,2787412.181783825,373.12793816176304,True,True,True,recovered,355,0.038411600049585104
ffp,0.1,0.02,0.005,0.0,1.0,22.0,0,6519.188439837868,0.9041747237346546,True,True,True,recovered,5,0.2068239003419876
ffp,0.1,0.02,0.005,0.0,1.0,22.0,1,6509.872720550811,2.410360335988251,True,True,True,recovered,5,0.06791870016604662
ffp,0.1,0.02,0.005,0.0,1.0,22.0,2,6474.906690812124,1.386181203251158,True,True,True,recovered,5,0.10535049997270107
ffp,0.1,0.02,0.005,0.0,1.0,22.0,3,6514.4047306516,0.667965856916345,True,True,True,recovered,5,0.17171059967949986
ffp,0.1,0.02,0.005,0.0,1.0,22.0,4,6464.181052362597,2.222215059473362,True,True,True,recovered,5,0.2667351998388767
ffp,0.1,0.08,0.005,0.0,1.0,22.0,0,80990.5315404395,18.862184120165598,True,True,True,recovered,28,0.04657360026612878
ffp,0.1,0.08,0.005,0.0,1.0,22.0,1,80934.76445611125,22.323654072661625,True,True,True,recovered,27,0.04550530016422272
ffp,0.1,0.08,0.005,0.0,1.0,22.0,2,80744.15040242692,21.386847545378796,True,True,True,recovered,28,0.04969840031117201
ffp,0.1,0.08,0.005,0.0,1.0,22.0,3,80959.4823487486,19.57082192460221,True,True,True,recovered,28,0.0463960999622941
ffp,0.1,0.08,0.005,0.0,1.0,22.0,4,81012.47163982726,22.590281169362587,True,True,True,recovered,28,0.04504969995468855
ffp,0.1,0.3,0.005,0.0,1.0,22.0,0,475411.69376052124,93.10782427627325,True,True,True,recovered,105,0.0463984003290534
ffp,0.1,0.3,0.005,0.0,1.0,22.0,1,468729.6535641781,82.86412481206597,True,True,True,recovered,104,0.03750819992274046
ffp,0.1,0.3,0.005,0.0,1.0,22.0,2,474485.485513674,87.1768572267245,True,True,True,recovered,106,0.045336199924349785
ffp,0.1,0.3,0.005,0.0,1.0,22.0,3,475491.8073719826,102.74854440737819,True,True,True,recovered,105,0.04570170026272535
ffp,0.1,0.3,0.005,0.0,1.0,22.0,4,474427.0791616872,120.5125082033537,True,True,True,recovered,105,0.05168689973652363
ffp,0.1,1.0,0.005,0.0,1.0,22.0,0,1892161.2701203264,332.5378716745265,True,True,True,recovered,354,0.040008199866861105
ffp,0.1,1.0,0.005,0.0,1.0,22.0,1,1854145.679570491,300.45251781766,True,True,True,recovered,354,0.03784930007532239
ffp,0.1,1.0,0.005,0.0,1.0,22.0,2,1888689.130493277,386.1855183657876,True,True,True,recovered,357,0.047641499899327755
ffp,0.1,1.0,0.005,0.0,1.0,22.0,3,1898901.0472666183,380.37536223062125,True,True,True,recovered,355,0.0383628997951746
ffp,0.1,1.0,0.005,0.0,1.0,22.0,4,1883080.6412253832,374.4242158387425,True,True,True,recovered,355,0.03633490018546581
ffp,0.3,0.02,0.005,0.0,1.0,22.0,0,3559.630965023767,0.8843107858366734,True,True,True,recovered,5,0.22351110028102994
ffp,0.3,0.02,0.005,0.0,1.0,22.0,1,3552.3656261620345,2.424272696673505,True,True,True,recovered,5,0.07715049991384149
ffp,0.3,0.02,0.005,0.0,1.0,22.0,2,3518.9005878721364,1.3727345468056853,True,True,True,recovered,5,0.09817599970847368
ffp,0.3,0.02,0.005,0.0,1.0,22.0,3,3554.4733734414112,0.6461471335766266,True,True,True,recovered,5,0.056592400185763836
ffp,0.3,0.02,0.005,0.0,1.0,22.0,4,3510.648221294934,2.1333502500287214,True,True,True,recovered,5,0.16079840017482638
ffp,0.3,0.08,0.005,0.0,1.0,22.0,0,27259.196431984208,17.399683189973015,True,True,True,recovered,28,0.055689300410449505
ffp,0.3,0.08,0.005,0.0,1.0,22.0,1,27206.417988031273,22.47768698996445,True,True,True,recovered,27,0.05533860018476844
ffp,0.3,0.08,0.005,0.0,1.0,22.0,2,27029.366317996268,21.63100589033077,True,True,True,recovered,28,0.05674949986860156
ffp,0.3,0.08,0.005,0.0,1.0,22.0,3,27230.007712151048,19.437054199905642,True,True,True,recovered,28,0.054131700191646814
ffp,0.3,0.08,0.005,0.0,1.0,22.0,4,27274.026690009894,19.23625105849564,True,True,True,recovered,28,0.0557736000046134
ffp,0.3,0.3,0.005,0.0,1.0,22.0,0,147800.86199515226,93.11990277851774,True,True,True,recovered,105,0.04908910021185875
ffp,0.3,0.3,0.005,0.0,1.0,22.0,1,144358.83197936887,82.23396314019726,True,True,True,recovered,104,0.04768909979611635
ffp,0.3,0.3,0.005,0.0,1.0,22.0,2,147000.98844442927,88.26198403291205,True,True,True,recovered,106,0.05489549972116947
ffp,0.3,0.3,0.005,0.0,1.0,22.0,3,147866.74044812063,103.24698356035091,True,True,True,recovered,105,0.044874700251966715
